
2025/03/20 (06:13:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/20 (06:13:26) | ===> btop++ v.1.4.0
2025/03/20 (06:13:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/20 (06:13:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/20 (06:13:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/20 (06:13:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/20 (06:13:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/25 (07:40:49) | ===> btop++ v.1.4.0
2025/03/25 (07:40:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (07:40:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (07:40:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (07:40:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (07:40:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (07:41:06) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (13:04:01) | ===> btop++ v.1.4.0
2025/03/26 (13:04:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/26 (13:04:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/26 (13:04:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/26 (13:04:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/26 (13:04:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/30 (12:42:25) | ===> btop++ v.1.4.0
2025/03/30 (12:42:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/30 (12:42:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/30 (12:42:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/30 (12:42:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/30 (12:42:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/10 (10:49:35) | ===> btop++ v.1.4.0
2025/04/10 (10:49:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/04/10 (10:49:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/10 (10:49:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/04/10 (10:49:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/04/10 (10:49:35) | WARNING: ROCm SMI: Failed to get PCIe throughput
